관광지명,주소,입장료,휴무일,영업시간,영업일,관광종류,경도,위도
금호강하중도,대구광역시 북구 노곡동 681-1,해당없음,상시개방,상시개방,상시,북구8경,128.559545,35.8999254
꽃보라동산,대구광역시 북구 산격동 1500-6,해당없음,상시개방,상시개방 ※ 야간조명시간 : 일몰 ~ 23시,상시,북구8경,128.601013,35.8892973
운암지수변공원,대구광역시 북구 구암동 349,해당없음,상시개방,상시개방,상시,북구8경,128.567701,35.9324856
팔달대교 야경,대구광역시 북구 팔달동 524-4,해당없음,상시개방,상시개방,상시,북구8경,128.549892,35.8962621
경북대학교 캠퍼스,대구광역시 북구 산격동 대학로 80,해당없음,상시개방,상시개방,상시,북구8경,128.610281,35.8889219
함지공원,대구광역시 북구 구암동 773,해당없음,상시개방,상시개방,상시,북구8경,128.569051,35.9423674
구암서원,대구광역시 북구 산격1동 산 79-1,무료,상시개방 ※ 건물 내부는 관람불가,09:00~17:00 ※ 미디어 파사드 공연 : 매주 금요일 20:00(5월~11월),"평일, 주말, 공휴일",북구8경,128.599207,35.8987715
침산정,대구광역시 북구 침산1동,해당없음,상시개방,해당없음,상시,북구8경,128.587136,35.8972629
서리지수변생태공원,대구광역시 북구 동호동 547,해당없음,상시개방,해당없음,상시,자연관광,128.563495,35.9665149
대구에스파스,대구광역시 신천동로 1000번지(북구 산격동) 무태교 아래 둔치,해당없음,상시개방,상시개방,상시,자연관광,128.596323,35.9035236
별별상상이야기관,대구광역시 북구 칠성남로26길 27,무료,주말 휴무,10:00~18:00,평일,체험관광,128.591802,35.8773709
신전뮤지엄,대구광역시 북구 관음로 43,"성인 10,000원청소년(중, 고등학생) 8,000원어린이(만 36개월 이상) 7,000원","매주 월, 화",10:00~17:30(점심시간 : 12:00~13:00),수요일~일요일,체험관광,128.540127,35.9347884
금호강 오토캠핑장,대구광역시 북구 검단동 458-4,예약제,공휴일,"입장 14:00, 퇴장 12:00",공휴일 제외 상시,체험관광,128.61167,35.9184846
구암동 숲 체험공원,대구광역시 북구 구암동 산11,무료,상시개방,상시개방,상시,체험관광,128.57246,35.9418425
대구국제사격장,대구광역시 북구 문주길 170 대구사격장,프로그램별 상이,매월 넷째 일요일,09:00~18:00,매일,체험관광,128.524312,35.9113725
구암서원 체험교육,대구광역시 북구 연암공원로17길 20 (산격1동 산79-1번지),프로그램별 상이,프로그램별 상이,프로그램별 상이,프로그램별 상이,체험관광,128.598996,35.8987072
칠곡향교,대구광역시 북구 칠곡중앙대로 597,강좌별 월 1만원,프로그램별 상이,프로그램별 상이,프로그램별 상이,체험관광,128.550989,35.9492453
구암동고분군·팔거산성,대구광역시 북구 구암동 388번지,해당없음,"상시개방 ※ 탐방안내소 : 매주 월요일, 명절기간 휴관",일반해설 : 10:00~17:00 ※ 점심시간 12:00~13:00,상시,체험관광,128.567358,35.9314257
무형문화재(대고장)체험,"대구광역시 북구 호암로 51, 대구삼성창조캠퍼스 기숙사 E동 201호",무료,"매년 체험일정별 상이 ※ 문의처 : 053-312-2850, 053-341-7753~6(대구무형유산 전수교육관)","매년 체험일정별 상이 ※ 문의처 : 053-312-2850, 053-341-7753~6(대구무형유산 전수교육관)","매년 체험일정별 상이 ※ 문의처 : 053-312-2850, 053-341-7753~6(대구무형유산 전수교육관)",체험관광,128.594794,35.883773
대구교육박물관,대구광역시 북구 대동로1길 40(산격동),무료,"1월 1일, 설날·추석, 매주 월요일(공휴일인 경우 다음날 휴관)",09:30~18:00 * 관람 종료 1시간 전까지 입장 가능,공휴일 및 매주 월요일 제외,체험관광,128.611383,35.8978362
연암공원 유아숲체험원,대구광역시 북구 산격동 산63-3번지,무료,상시개방,상시개방,상시 ※ 체험수업 : 4월~10월중순,체험관광,128.604211,35.8993484
동대구시장,대구광역시 북구 대현로20길 30,해당없음,첫째 일요일,점포 영업시간 내 이용 가능,상시,전통시장,128.608951,35.8812818
칠성종합시장,대구광역시 북구 칠성시장로 28 일원,해당없음,점포 영업시간 내 이용 가능,점포 영업시간 내 이용 가능,상시,전통시장,128.604457,35.876903
팔달시장,대구광역시 북구 팔달로27길 42(노원동3가),해당없음,점포 영업시간 내 이용 가능,점포 영업시간 내 이용 가능,상시,전통시장,128.5702355,35.88921767
농수산물도매시장,대구광역시 북구 매천로18길 34 농산물도매시장,해당없음,점포 영업시간 내 이용 가능,점포 영업시간 내 이용 가능,상시,전통시장,128.54358,35.9030473
칠곡시장,대구광역시 북구 칠곡중앙대로 526,해당없음,점포 영업시간 내 이용 가능,점포 영업시간 내 이용 가능,상시,전통시장,128.551058,35.9424266
별별상상칠성야시장,대구광역시 북구 칠성시장로 28 대구광역시 북구 칠성동1가 276-1(신천둔치공영주차장 일원),해당없음,일요일,(평일) 18:00~23:00 / (금·토요일) 18:00∼24:00,월요일~토요일,전통시장,128.605576,35.8764423
서변중앙시장,대구광역시 북구 호국로43길 27,해당없음,"5일장(2일, 7일)",점포 영업시간 내 이용 가능,"5일장(2일, 7일)",전통시장,128.59619,35.9209962
산격종합시장·청년몰,대구광역시 북구 대동로1길 34,해당없음,점포 영업시간 내 이용 가능,점포 영업시간 내 이용 가능,상시,전통시장,128.610558,35.8983706
어울아트센터,"대구광역시 북구 구암로 47 (관음동, 어울아트센터)",해당없음,공휴일,프로그램별 상이,프로그램별 상이,문화예술공간,128.54657,35.9345531
